t,interval,price_yuan_per_kWh,load_kW,pv_kW,net_load_kW,buy_kW,buy_kWh,ch_kW,ch_kWh,dis_kW,dis_kWh,curtail_kW,E_end_kWh
1,0:00-0:10,0.4248,3439.8466,0.0000,3439.8466,8439.8466,1406.641100,5000.0000,833.333333,0.0000,0.000000,0.0000,6750.0000
2,0:10-0:20,0.4245,3437.9792,0.0000,3437.9792,8437.9792,1406.329867,5000.0000,833.333333,0.0000,0.000000,0.0000,7500.0000
3,0:20-0:30,0.4269,3444.3031,0.0000,3444.3031,8444.3031,1407.383850,5000.0000,833.333333,0.0000,0.000000,0.0000,8250.0000
4,0:30-0:40,0.4272,3454.4437,0.0000,3454.4437,8454.4437,1409.073950,5000.0000,833.333333,0.0000,0.000000,0.0000,9000.0000
5,0:40-0:50,0.4271,3458.8273,0.0000,3458.8273,8458.8273,1409.804550,5000.0000,833.333333,0.0000,0.000000,0.0000,9750.0000
6,0:50-1:00,0.4285,3459.8401,0.0000,3459.8401,3459.8401,576.640017,0.0000,0.000000,0.0000,0.000000,0.0000,9750.0000
7,1:00-1:10,0.4311,3467.1582,0.0000,3467.1582,3467.1582,577.859700,0.0000,0.000000,0.0000,0.000000,0.0000,9750.0000
8,1:10-1:20,0.4302,3467.9632,0.0000,3467.9632,3467.9632,577.993867,0.0000,0.000000,0.0000,0.000000,0.0000,9750.0000
9,1:20-1:30,0.4279,3466.9683,0.0000,3466.9683,5466.9683,911.161383,2000.0000,333.333333,0.0000,0.000000,0.0000,10050.0000
10,1:30-1:40,0.4312,3482.4927,0.0000,3482.4927,3482.4927,580.415450,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
11,1:40-1:50,0.4333,3495.0841,0.0000,3495.0841,3495.0841,582.514017,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
12,1:50-2:00,0.4311,3498.4443,0.0000,3498.4443,3498.4443,583.074050,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
13,2:00-2:10,0.4293,3505.2295,0.0000,3505.2295,3505.2295,584.204917,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
14,2:10-2:20,0.4324,3512.6387,0.0000,3512.6387,3512.6387,585.439783,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
15,2:20-2:30,0.4367,3516.8685,0.0000,3516.8685,3516.8685,586.144750,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
16,2:30-2:40,0.4348,3517.9246,0.0000,3517.9246,3517.9246,586.320767,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
17,2:40-2:50,0.4335,3518.5518,0.0000,3518.5518,3518.5518,586.425300,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
18,2:50-3:00,0.4357,3521.0976,0.0000,3521.0976,3521.0976,586.849600,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
19,3:00-3:10,0.4374,3526.9261,0.0000,3526.9261,3526.9261,587.821017,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
20,3:10-3:20,0.4371,3537.2854,0.0000,3537.2854,3537.2854,589.547567,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
21,3:20-3:30,0.4356,3544.8808,0.0000,3544.8808,3544.8808,590.813467,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
22,3:30-3:40,0.4353,3541.2787,0.0000,3541.2787,3541.2787,590.213117,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
23,3:40-3:50,0.4360,3546.3976,0.0000,3546.3976,3546.3976,591.066267,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
24,3:50-4:00,0.4378,3560.2070,0.0000,3560.2070,3560.2070,593.367833,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
25,4:00-4:10,0.4401,3561.9581,0.0000,3561.9581,3561.9581,593.659683,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
26,4:10-4:20,0.4389,3556.7183,0.0000,3556.7183,3556.7183,592.786383,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
27,4:20-4:30,0.4364,3560.0272,0.0000,3560.0272,3560.0272,593.337867,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
28,4:30-4:40,0.4393,3580.6540,0.5994,3580.0546,3580.0546,596.675767,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
29,4:40-4:50,0.4422,3586.9160,0.2345,3586.6815,3586.6815,597.780250,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
30,4:50-5:00,0.4395,3571.2635,0.2885,3570.9750,3570.9750,595.162500,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
31,5:00-5:10,0.4333,3562.3171,18.6781,3543.6390,3543.6390,590.606500,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
32,5:10-5:20,0.4439,3591.3809,54.4698,3536.9111,3536.9111,589.485183,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
33,5:20-5:30,0.4301,3579.7045,108.9718,3470.7327,3470.7327,578.455450,0.0000,0.000000,0.0000,0.000000,0.0000,10050.0000
34,5:30-5:40,0.3713,3486.1190,184.1603,3301.9587,8301.9587,1383.659783,5000.0000,833.333333,0.0000,0.000000,0.0000,10800.0000
35,5:40-5:50,0.5708,3823.8994,277.0582,3546.8412,3546.8412,591.140200,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
36,5:50-6:00,0.9099,4398.0727,388.5494,4009.5233,0.0000,0.000000,0.0000,0.000000,4009.5233,668.253883,0.0000,10057.4957
37,6:00-6:10,0.9368,4454.0123,521.2803,3932.7320,0.0000,0.000000,0.0000,0.000000,3932.7320,655.455333,0.0000,9329.2120
38,6:10-6:20,0.8758,4371.7919,672.7677,3699.0242,0.0000,0.000000,0.0000,0.000000,3699.0242,616.504033,0.0000,8644.2075
39,6:20-6:30,0.8759,4392.9530,844.2261,3548.7269,0.0000,0.000000,0.0000,0.000000,3548.7269,591.454483,0.0000,7987.0359
40,6:30-6:40,0.8601,4384.5956,1039.6744,3344.9212,0.0000,0.000000,0.0000,0.000000,3344.9212,557.486867,0.0000,7367.6060
41,6:40-6:50,0.8442,4434.7757,1259.3375,3175.4382,0.0000,0.000000,0.0000,0.000000,3175.4382,529.239700,0.0000,6779.5619
42,6:50-7:00,0.8334,4523.4561,1508.6318,3014.8243,0.0000,0.000000,0.0000,0.000000,3014.8243,502.470717,0.0000,6221.2611
43,7:00-7:10,0.8092,4524.0721,1791.4107,2732.6614,0.0000,0.000000,0.0000,0.000000,2732.6614,455.443567,0.0000,5715.2127
44,7:10-7:20,0.7972,4545.8867,2085.4865,2460.4002,0.0000,0.000000,0.0000,0.000000,2460.4002,410.066700,0.0000,5259.5830
45,7:20-7:30,0.7644,4523.2418,2381.2611,2141.9807,0.0000,0.000000,0.0000,0.000000,2141.9807,356.996783,0.0000,4862.9199
46,7:30-7:40,0.6899,4383.3566,2683.1752,1700.1814,0.0000,0.000000,0.0000,0.000000,1700.1814,283.363567,0.0000,4548.0715
47,7:40-7:50,0.8600,4910.4599,2986.3552,1924.1047,0.0000,0.000000,0.0000,0.000000,1924.1047,320.684117,0.0000,4191.7558
48,7:50-8:00,1.1617,5799.7327,3289.2040,2510.5287,0.0000,0.000000,0.0000,0.000000,2510.5287,418.421450,0.0000,3726.8431
49,8:00-8:10,1.1683,5884.8260,3593.3613,2291.4647,0.0000,0.000000,0.0000,0.000000,2291.4647,381.910783,0.0000,3302.4978
50,8:10-8:20,1.0956,5748.0713,3890.7332,1857.3381,0.0000,0.000000,0.0000,0.000000,1857.3381,309.556350,0.0000,2958.5463
51,8:20-8:30,1.0849,5769.0581,4181.3417,1587.7164,0.0000,0.000000,0.0000,0.000000,1587.7164,264.619400,0.0000,2664.5247
52,8:30-8:40,1.0610,5754.2105,4471.7657,1282.4448,0.0000,0.000000,0.0000,0.000000,1282.4448,213.740800,0.0000,2427.0350
53,8:40-8:50,1.0430,5824.1807,4752.8272,1071.3535,0.0000,0.000000,0.0000,0.000000,1071.3535,178.558917,0.0000,2228.6362
54,8:50-9:00,1.0360,5954.2601,5021.9074,932.3527,0.0000,0.000000,0.0000,0.000000,932.3527,155.392117,0.0000,2055.9783
55,9:00-9:10,1.0147,5958.9696,5285.4126,673.5570,0.0000,0.000000,0.0000,0.000000,673.5570,112.259500,0.0000,1931.2455
56,9:10-9:20,0.9922,5929.5554,5543.1742,386.3812,0.0000,0.000000,0.0000,0.000000,386.3812,64.396867,0.0000,1859.6934
57,9:20-9:30,0.9700,5923.7828,5788.4093,135.3735,0.0000,0.000000,0.0000,0.000000,135.3735,22.562250,0.0000,1834.6242
58,9:30-9:40,0.9422,5907.5860,6012.1304,-104.5444,0.0000,0.000000,104.5444,17.424067,0.0000,0.000000,0.0000,1850.3059
59,9:40-9:50,0.9569,5899.1262,6216.1528,-317.0266,0.0000,0.000000,317.0266,52.837767,0.0000,0.000000,0.0000,1897.8599
60,9:50-10:00,0.9977,5902.2196,6409.5941,-507.3745,0.0000,0.000000,507.3745,84.562417,0.0000,0.000000,0.0000,1973.9661
61,10:00-10:10,0.9919,5897.4793,6599.3808,-701.9015,0.0000,0.000000,701.9015,116.983583,0.0000,0.000000,0.0000,2079.2513
62,10:10-10:20,0.9588,5886.7568,6766.7204,-879.9636,0.0000,0.000000,879.9636,146.660600,0.0000,0.000000,0.0000,2211.2458
63,10:20-10:30,0.9549,5873.4708,6914.5923,-1041.1215,0.0000,0.000000,1041.1215,173.520250,0.0000,0.000000,0.0000,2367.4141
64,10:30-10:40,0.9839,5858.0308,7064.2053,-1206.1745,0.0000,0.000000,1206.1745,201.029083,0.0000,0.000000,0.0000,2548.3402
65,10:40-10:50,0.7990,5844.9948,7197.4315,-1352.4367,0.0000,0.000000,1352.4367,225.406117,0.0000,0.000000,0.0000,2751.2057
66,10:50-11:00,0.5025,5839.0587,7303.1142,-1464.0555,0.0000,0.000000,1464.0555,244.009250,0.0000,0.000000,0.0000,2970.8141
67,11:00-11:10,0.4662,5838.7103,7387.6848,-1548.9745,3451.0255,575.170917,5000.0000,833.333333,0.0000,0.000000,0.0000,3720.8141
68,11:10-11:20,0.5007,5823.4378,7459.2270,-1635.7892,0.0000,0.000000,1635.7892,272.631533,0.0000,0.000000,0.0000,3966.1824
69,11:20-11:30,0.4827,5814.7932,7520.7191,-1705.9259,0.0000,0.000000,1705.9259,284.320983,0.0000,0.000000,0.0000,4222.0713
70,11:30-11:40,0.4785,5832.3951,7568.2039,-1735.8088,1075.6630,179.277171,2811.4718,468.578638,0.0000,0.000000,0.0000,4643.7921
71,11:40-11:50,0.4662,5712.9010,7592.1539,-1879.2529,3120.7471,520.124517,5000.0000,833.333333,0.0000,0.000000,0.0000,5393.7921
72,11:50-12:00,0.4432,5519.4607,7601.0433,-2081.5826,2918.4174,486.402900,5000.0000,833.333333,0.0000,0.000000,0.0000,6143.7921
73,12:00-12:10,0.4411,5494.7907,7612.3160,-2117.5253,2882.4747,480.412450,5000.0000,833.333333,0.0000,0.000000,0.0000,6893.7921
74,12:10-12:20,0.4551,5514.4524,7602.6524,-2088.2000,2911.8000,485.300000,5000.0000,833.333333,0.0000,0.000000,0.0000,7643.7921
75,12:20-12:30,0.4463,5485.8290,7554.1872,-2068.3582,2931.6418,488.606967,5000.0000,833.333333,0.0000,0.000000,0.0000,8393.7921
76,12:30-12:40,0.4113,5462.3628,7472.7384,-2010.3756,2989.6244,498.270733,5000.0000,833.333333,0.0000,0.000000,0.0000,9143.7921
77,12:40-12:50,0.5682,5566.1066,7393.4172,-1827.3106,0.0000,0.000000,1827.3106,304.551767,0.0000,0.000000,0.0000,9417.8887
78,12:50-13:00,0.8279,5725.7548,7312.7979,-1587.0431,0.0000,0.000000,1587.0431,264.507183,0.0000,0.000000,0.0000,9655.9452
79,13:00-13:10,0.8636,5739.4957,7194.5410,-1455.0453,0.0000,0.000000,1455.0453,242.507550,0.0000,0.000000,0.0000,9874.2020
80,13:10-13:20,0.8416,5714.6836,7053.1371,-1338.4535,0.0000,0.000000,1338.4535,223.075583,0.0000,0.000000,0.0000,10074.9700
81,13:20-13:30,0.8618,5717.8505,6910.4064,-1192.5559,0.0000,0.000000,1192.5559,198.759317,0.0000,0.000000,0.0000,10253.8534
82,13:30-13:40,0.8623,5708.2486,6772.4075,-1064.1589,0.0000,0.000000,1064.1589,177.359817,0.0000,0.000000,0.0000,10413.4772
83,13:40-13:50,0.9026,5696.9182,6607.3600,-910.4418,0.0000,0.000000,910.4418,151.740300,0.0000,0.000000,0.0000,10550.0435
84,13:50-14:00,0.9754,5692.2983,6412.5085,-720.2102,0.0000,0.000000,720.2102,120.035033,0.0000,0.000000,0.0000,10658.0750
85,14:00-14:10,1.0002,5687.1291,6214.0158,-526.8867,0.0000,0.000000,526.8867,87.814450,0.0000,0.000000,0.0000,10737.1080
86,14:10-14:20,0.9978,5678.9620,6000.7112,-321.7492,0.0000,0.000000,321.7492,53.624867,0.0000,0.000000,0.0000,10785.3704
87,14:20-14:30,1.0271,5669.4508,5766.9816,-97.5308,0.0000,0.000000,97.5308,16.255133,0.0000,0.000000,0.0000,10800.0000
88,14:30-14:40,1.0906,5664.1948,5521.5066,142.6882,0.0000,0.000000,0.0000,0.000000,142.6882,23.781367,0.0000,10773.5763
89,14:40-14:50,0.9376,5672.7011,5268.7810,403.9201,0.0000,0.000000,0.0000,0.000000,403.9201,67.320017,0.0000,10698.7762
90,14:50-15:00,0.6694,5682.2544,5009.7152,672.5392,672.5392,112.089867,0.0000,0.000000,0.0000,0.000000,0.0000,10698.7762
91,15:00-15:10,0.6600,5669.0195,4743.4484,925.5711,1600.3962,266.732694,674.8251,112.470844,0.0000,0.000000,0.0000,10800.0000
92,15:10-15:20,0.7217,5656.3651,4471.2240,1185.1411,1185.1411,197.523517,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
93,15:20-15:30,0.7308,5657.0867,4188.2025,1468.8842,1468.8842,244.814033,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
94,15:30-15:40,0.7534,5662.6008,3889.3931,1773.2077,1773.2077,295.534617,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
95,15:40-15:50,0.7823,5669.2596,3594.5946,2074.6650,2074.6650,345.777500,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
96,15:50-16:00,0.8055,5673.4767,3303.8878,2369.5889,2369.5889,394.931483,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
97,16:00-16:10,0.8271,5671.0146,2998.4247,2672.5899,2672.5899,445.431650,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
98,16:10-16:20,0.8519,5661.5926,2687.4131,2974.1795,2974.1795,495.696583,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
99,16:20-16:30,0.8791,5665.8922,2383.1779,3282.7143,3282.7143,547.119050,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
100,16:30-16:40,0.9024,5689.0372,2089.1246,3599.9126,3599.9126,599.985433,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
101,16:40-16:50,0.9163,5603.6614,1791.0829,3812.5785,3812.5785,635.429750,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
102,16:50-17:00,0.9264,5466.7124,1501.7283,3964.9841,3964.9841,660.830683,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
103,17:00-17:10,0.9462,5467.3939,1255.1723,4212.2216,4212.2216,702.036933,-0.0000,-0.000000,0.0000,0.000000,0.0000,10800.0000
104,17:10-17:20,0.9742,5464.7270,1036.3323,4428.3947,4428.3947,738.065783,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
105,17:20-17:30,0.9862,5492.4458,836.7775,4655.6683,4655.6683,775.944717,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
106,17:30-17:40,0.9760,5621.7308,665.2313,4956.4995,4956.4995,826.083250,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
107,17:40-17:50,1.0742,5091.2126,516.6758,4574.5368,4574.5368,762.422800,0.0000,0.000000,0.0000,0.000000,0.0000,10800.0000
108,17:50-18:00,1.2313,4208.5688,386.6731,3821.8957,3821.8957,636.982617,0.0000,0.000000,-0.0000,-0.000000,0.0000,10800.0000
109,18:00-18:10,1.2561,4122.7611,275.7933,3846.9678,3191.3643,531.894050,0.0000,0.000000,655.6035,109.267250,0.0000,10678.5919
110,18:10-18:20,1.2447,4255.9358,182.9526,4072.9832,4072.9832,678.830533,0.0000,0.000000,0.0000,0.000000,0.0000,10678.5919
111,18:20-18:30,1.2545,4225.9524,108.3414,4117.6110,4117.6110,686.268500,0.0000,0.000000,0.0000,0.000000,0.0000,10678.5919
112,18:30-18:40,1.2522,4233.3384,54.3121,4179.0263,4179.0263,696.504383,0.0000,0.000000,0.0000,0.000000,0.0000,10678.5919
113,18:40-18:50,1.2881,4246.4625,18.6569,4227.8056,0.0000,0.000000,0.0000,0.000000,4227.8056,704.634267,0.0000,9895.6650
114,18:50-19:00,1.3466,4239.1795,0.2753,4238.9042,0.0000,0.000000,0.0000,0.000000,4238.9042,706.484033,0.0000,9110.6827
115,19:00-19:10,1.3523,4244.6684,0.2296,4244.4388,0.0000,0.000000,0.0000,0.000000,4244.4388,707.406467,0.0000,8324.6755
116,19:10-19:20,1.3445,4251.9187,0.6007,4251.3180,0.0000,0.000000,0.0000,0.000000,4251.3180,708.553000,0.0000,7537.3944
117,19:20-19:30,1.3483,4256.6813,0.0000,4256.6813,0.0000,0.000000,0.0000,0.000000,4256.6813,709.446883,0.0000,6749.1201
118,19:30-19:40,1.3490,4267.3947,0.0000,4267.3947,0.0000,0.000000,0.0000,0.000000,4267.3947,711.232450,0.0000,5958.8618
119,19:40-19:50,1.3473,4269.9750,0.0000,4269.9750,0.0000,0.000000,0.0000,0.000000,4269.9750,711.662500,0.0000,5168.1257
120,19:50-20:00,1.3482,4268.6702,0.0000,4268.6702,0.0000,0.000000,0.0000,0.000000,4268.6702,711.445033,0.0000,4377.6312
121,20:00-20:10,1.3513,4282.2245,0.0000,4282.2245,0.0000,0.000000,0.0000,0.000000,4282.2245,713.704083,0.0000,3584.6267
122,20:10-20:20,1.3400,4291.7049,0.0000,4291.7049,0.0000,0.000000,0.0000,0.000000,4291.7049,715.284150,0.0000,2789.8665
123,20:20-20:30,1.3489,4291.3611,0.0000,4291.3611,0.0000,0.000000,0.0000,0.000000,4291.3611,715.226850,0.0000,1995.1700
124,20:30-20:40,1.3952,4293.9182,0.0000,4293.9182,0.0000,0.000000,0.0000,0.000000,4293.9182,715.653033,0.0000,1200.0000
