t,interval,price_yuan_per_kWh,load_kW,pv_kW,net_load_kW,buy_kW,buy_kWh,ch_kW,ch_kWh,dis_kW,dis_kWh,curtail_kW,curtail_kWh,E_end_kWh
1,0:00-0:10,0.4248,3439.8466,0.0000,3439.8466,8439.846600,1406.641100,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,6750.000000
2,0:10-0:20,0.4245,3437.9792,0.0000,3437.9792,8437.979200,1406.329867,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,7500.000000
3,0:20-0:30,0.4269,3444.3031,0.0000,3444.3031,8444.303100,1407.383850,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,8250.000000
4,0:30-0:40,0.4272,3454.4437,0.0000,3454.4437,8454.443700,1409.073950,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,9000.000000
5,0:40-0:50,0.4271,3458.8273,0.0000,3458.8273,8458.827300,1409.804550,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,9750.000000
6,0:50-1:00,0.4285,3459.8401,0.0000,3459.8401,3459.840100,576.640017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9750.000000
7,1:00-1:10,0.4311,3467.1582,0.0000,3467.1582,3467.158200,577.859700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9750.000000
8,1:10-1:20,0.4302,3467.9632,0.0000,3467.9632,3467.963200,577.993867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9750.000000
9,1:20-1:30,0.4279,3466.9683,0.0000,3466.9683,5466.968300,911.161383,2000.000000,333.333333,0.000000,0.000000,0.000000,0.000000,10050.000000
10,1:30-1:40,0.4312,3482.4927,0.0000,3482.4927,3482.492700,580.415450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
11,1:40-1:50,0.4333,3495.0841,0.0000,3495.0841,3495.084100,582.514017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
12,1:50-2:00,0.4311,3498.4443,0.0000,3498.4443,3498.444300,583.074050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
13,2:00-2:10,0.4293,3505.2295,0.0000,3505.2295,3505.229500,584.204917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
14,2:10-2:20,0.4324,3512.6387,0.0000,3512.6387,3512.638700,585.439783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
15,2:20-2:30,0.4367,3516.8685,0.0000,3516.8685,3516.868500,586.144750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
16,2:30-2:40,0.4348,3517.9246,0.0000,3517.9246,3517.924600,586.320767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
17,2:40-2:50,0.4335,3518.5518,0.0000,3518.5518,3518.551800,586.425300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
18,2:50-3:00,0.4357,3521.0976,0.0000,3521.0976,3521.097600,586.849600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
19,3:00-3:10,0.4374,3526.9261,0.0000,3526.9261,3526.926100,587.821017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
20,3:10-3:20,0.4371,3537.2854,0.0000,3537.2854,3537.285400,589.547567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
21,3:20-3:30,0.4356,3544.8808,0.0000,3544.8808,3544.880800,590.813467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
22,3:30-3:40,0.4353,3541.2787,0.0000,3541.2787,3541.278700,590.213117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
23,3:40-3:50,0.4360,3546.3976,0.0000,3546.3976,3546.397600,591.066267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
24,3:50-4:00,0.4378,3560.2070,0.0000,3560.2070,3560.207000,593.367833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
25,4:00-4:10,0.4401,3561.9581,0.0000,3561.9581,3561.958100,593.659683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
26,4:10-4:20,0.4389,3556.7183,0.0000,3556.7183,3556.718300,592.786383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
27,4:20-4:30,0.4364,3560.0272,0.0000,3560.0272,3560.027200,593.337867,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
28,4:30-4:40,0.4393,3580.6540,0.5994,3580.0546,3580.054600,596.675767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
29,4:40-4:50,0.4422,3586.9160,0.2345,3586.6815,3586.681500,597.780250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
30,4:50-5:00,0.4395,3571.2635,0.2885,3570.9750,3570.975000,595.162500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
31,5:00-5:10,0.4333,3562.3171,18.6781,3543.6390,3543.639000,590.606500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
32,5:10-5:20,0.4439,3591.3809,54.4698,3536.9111,3536.911100,589.485183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
33,5:20-5:30,0.4301,3579.7045,108.9718,3470.7327,3470.732700,578.455450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10050.000000
34,5:30-5:40,0.3713,3486.1190,184.1603,3301.9587,8301.958700,1383.659783,5000.000000,833.333333,0.000000,0.000000,0.000000,0.000000,10800.000000
35,5:40-5:50,0.5708,3823.8994,277.0582,3546.8412,3546.841200,591.140200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10800.000000
36,5:50-6:00,0.9099,4398.0727,388.5494,4009.5233,0.000000,0.000000,0.000000,0.000000,4009.523300,668.253883,0.000000,0.000000,10057.496000
